GENE,HUVECs_2,HUVECs_3,HUVECs_4,HDLECs_1,HDLECs_2,HDLECs_3
FHAD1-AS1,5,5,1,9,2,4
EFHD2-AS1,25,27,12,29,10,27
EFHD2,5537,6404,4602,12577,4859,3790
CTRC,2,2,1,2,2,0
CELA2A,0,1,0,0,0,0
LOC105376767,0,1,0,0,2,0
CELA2B,10,3,7,17,8,4
CASP9,552,671,667,661,473,469
DNAJC16,3176,3108,3783,3122,3266,3013
SCARNA21B,1,0,1,0,0,1
AGMAT,74,67,64,107,71,36
DDI2,2430,2181,2460,1866,2235,2605
RSC1A1,1,2,1,0,1,0
PLEKHM2,5861,6033,5247,5184,5368,5889
SLC25A34,79,108,78,24,35,26
SLC25A34-AS1,46,132,62,17,37,9
TMEM82,15,14,2,2,7,0
FBLIM1,30650,34765,34732,26570,25024,19881
UQCRHL,15,11,4,8,10,23
SPEN-AS1,234,201,251,188,151,184
SPEN,5359,4511,5254,4461,4649,4563
ZBTB17,1609,1549,1551,1406,1233,1333
SRARP,0,0,0,66,131,117
HSPB7,1,0,0,1,2,0
CLCNKA,0,0,0,0,0,0
CLCNKB,8,5,4,2,4,0
FAM131C,50,47,28,32,10,12
EPHA2,13021,10629,13119,13338,11364,10725
EPHA2-AS1,69,82,67,77,65,75
ARHGEF19,244,411,379,233,119,235
ANO7L1,23,58,27,53,27,53
CPLANE2,189,216,188,173,156,175
FBXO42,2477,3033,2589,1630,1556,1520
SZRD1,10783,11974,11241,10118,8815,9395
SPATA21,7169,7845,7482,6402,5874,6293
NECAP2,6003,6960,6687,7157,5969,6452
LINC01772,139,136,127,133,188,97
CROCCP3,175,172,156,113,167,120
RNU1-1,34,44,61,29,9,23
TRN-GTT5-1,0,0,0,5,0,1
LINC01783,7,21,19,15,1,0
TRE-TTC4-1,0,0,0,0,0,0
TRG-CCC1-1,2,1,1,4,2,3
NBPF1,533,655,665,453,242,655
LOC105376794,386,420,353,260,130,165
CROCCP2,271,334,329,270,120,200
MST1P2,12,18,8,6,4,4
LOC107985736,1,0,1,0,0,2
RNU1-3,0,0,0,0,0,0
TRG-CCC4-1,4,0,0,3,0,1
ESPNP,0,0,0,0,0,0
TRG-CCC5-1,0,1,1,5,1,0
RNU1-4,5,4,10,3,2,4
MST1L,4,4,6,1,2,1
MIR3675,0,0,0,0,0,0
TRG-CCC1-2,0,1,0,1,0,1
LOC112267871,12,16,9,11,6,2
TRE-TTC3-1,0,0,0,0,0,0
TRN-GTT13-1,0,0,0,0,0,0
LOC105376805,122,121,104,140,134,120
TRN-GTT4-1,0,0,0,0,1,2
RNU1-2,30,44,25,20,15,5
CROCC,800,793,762,736,730,847
MFAP2,4513,4591,2471,4008,2572,3591
LOC105376806,2475,2279,1429,2117,1459,1935
ATP13A2,5253,4452,4654,6488,4899,6136
SDHB,2666,3170,2688,3429,2751,2594
PADI2,4,0,3,25,6,37
LOC105376808,0,0,0,0,0,0
LINC02783,0,0,0,0,0,0
PADI1,0,0,0,2,0,0
PADI3,0,0,0,0,0,0
MIR3972,0,0,0,0,0,0
PADI4,0,0,0,0,0,0
PADI6,0,0,0,0,0,0
RCC2,3,0,0,0,0,0
RCC2-AS1,0,0,0,0,1,0
ARHGEF10L,536,460,434,29,18,48
LINC02810,0,0,0,0,0,0
ACTL8,0,0,1,0,0,0
LOC105376809,0,0,0,0,0,0
LOC105376812,0,0,0,0,0,0
LINC01654,0,0,0,0,0,0
IGSF21,0,0,0,0,0,0
IGSF21-AS1,0,0,0,0,0,0
KLHDC7A,0,0,0,1,0,0
PAX7,0,0,0,0,0,0
TAS1R2,0,0,0,0,0,0
ALDH4A1,1394,1560,1620,1270,1651,1899
MIR4695,0,0,0,0,0,0
MIR1290,0,3,0,0,0,0
IFFO2,2714,2554,2104,2439,969,1308
LOC105376815,0,0,0,0,0,0
UBR4,10138,8578,10546,11298,13757,12809
EMC1-AS1,456,399,509,329,413,293
EMC1,6168,5595,6818,5008,6488,4789
MRTO4,2663,3315,2462,2728,1501,1422
AKR7L,3,9,4,5,0,5
AKR7A3,12,24,8,6,6,2
LOC100506730,118,140,148,125,153,138
AKR7A2,2279,2907,2286,2168,2633,2626
SLC66A1,771,745,656,680,628,609
CAPZB,13497,14473,14231,16968,18492,21310
LOC105376819,4,4,5,1,7,13
LOC105376818,0,0,0,0,0,0
LOC105376817,1,0,0,0,1,1
MICOS10-DT,0,0,0,1,0,0
MICOS10-NBL1,0,0,0,0,0,0
MICOS10,1292,1429,1558,1935,1729,1544
RPS14P3,12,8,5,4,2,2
NBL1,12,4,2,8,24,56
HTR6,7,2,3,4,3,0
TMCO4,707,789,677,681,665,697
RNF186,0,0,0,0,0,0
LOC105376823,4,0,1,1,0,0
OTUD3,597,540,623,458,390,352
PLA2G2E,0,0,0,0,0,0
PLA2G2A,0,0,0,0,0,0
PLA2G5,0,1,2,22,18,15
PLA2G2D,0,0,0,0,0,0
PLA2G2F,0,0,0,0,0,0
LOC117779438,0,0,0,0,0,0
PLA2G2C,0,0,0,0,0,0
UBXN10,1,2,2,4,10,13
LOC105376825,0,0,0,0,0,0
LOC105376826,0,0,0,0,0,0
LINC01757,0,0,0,0,0,0
LOC105376828,0,0,0,0,0,0
VWA5B1,0,0,0,0,0,2
LINC01141,0,0,0,0,0,0
CAMK2N1,2811,2782,2577,746,235,101
MUL1,1844,1795,2171,2372,1809,1946
FAM43B,2,5,3,0,1,0
CDA,205,223,162,93,454,631
PINK1,3643,4131,4138,4059,5455,5360
MIR6084,0,0,0,0,0,0
PINK1-AS,3004,3167,3404,3204,4250,3803
DDOST,14627,15653,16933,12207,13073,11407
KIF17,67,61,53,985,896,1041
SH2D5,17,13,11,169,6,27
HP1BP3,9508,10253,10156,10172,9528,9472
EIF4G3,6532,5715,6858,6303,7792,7068
LOC105376830,15,7,0,6,5,6
LOC105376829,18,9,5,3,1,5
MIR1256,0,3,1,0,0,0
ECE1,76736,69458,87503,37810,33896,33617
ECE1-AS1,18,13,6,6,6,4
LOC105376832,0,0,0,0,0,0
NBPF3,267,438,311,335,114,254
ALPL,171,70,219,126,24,66
LINC02596,0,0,0,1,0,0
RAP1GAP,2,4,6,4,3,3
USP48,5704,5184,5841,5590,5167,4604
LDLRAD2,56516,38665,38667,14743,15884,14105
HSPG2,495546,343126,355652,135222,145521,126255
CELA3B,8,4,1,0,0,0
CELA3A,2,4,0,0,0,0
LINC01635,17,15,16,8,4,6
LINC00339,366,577,416,446,272,414
CDC42-AS1,33,107,29,163,26,242
CDC42,36305,40208,38657,39536,31442,32955
WNT4,30,40,17,26,25,67
LOC105376845,5,4,2,4,3,3
LOC105376850,0,2,0,6,4,2
LOC107985377,0,0,0,0,1,0
MIR4418,0,0,0,0,0,0
LOC105376856,0,0,0,0,0,0
ZBTB40,2195,1985,2006,1896,1973,2049
EPHA8,0,0,0,0,0,0
MIR6127,0,0,0,0,0,0
C1QA,0,0,0,0,0,0
C1QC,0,0,0,0,0,0
C1QB,0,0,0,0,0,0
EPHB2,10301,10283,8898,8911,9000,7283
MIR4684,3,0,0,0,0,0
MIR4253,501,500,432,479,422,368
LACTBL1,0,0,0,0,0,0
TEX46,0,0,0,0,0,0
KDM1A,7507,7853,7716,5029,4017,4172
MIR3115,0,0,0,0,0,0
LUZP1,12494,11400,12295,10893,10310,10329
HTR1D,293,94,184,5,0,2
LINC01355,0,0,0,0,0,0
HNRNPR,73,49,38,54,35,44
ZNF436,0,0,0,0,0,0
ZNF436-AS1,0,0,0,0,0,0
TCEA3,1,1,0,2,0,0
ASAP3,12,14,5,4,1,3
E2F2,3,2,2,1,0,0
LOC101928163,1,0,0,0,1,0
LOC105376859,0,0,0,0,0,0
ID3,0,0,0,0,0,0
LOC107984928,0,0,0,2,1,5
MDS2,0,0,1,0,1,1
RPL11,18168,24255,22969,25100,22237,23347
ELOA,4438,4578,4608,5263,5226,4919
ELOA-AS1,771,797,754,920,927,855
PITHD1,1725,1927,1752,1647,1709,2142
LOC105376860,690,824,763,644,680,690
LYPLA2,6340,6648,6040,5829,5836,5939
GALE,1546,1715,1540,1198,624,667
HMGCL,1181,1237,1431,1434,1568,1542
LOC105376861,1,0,0,0,0,1
FUCA1,855,1082,1264,974,1230,1784
CNR2,0,1,0,0,0,0
LOC107984929,0,0,0,0,0,0
MIR378F,0,0,0,0,0,0
PNRC2,4830,5394,5393,5424,5131,4881
SRSF10,5358,5163,5413,5075,3995,4430
LOC105378615,0,0,0,0,0,0
LOC105376863,0,0,0,0,0,0
LOC107984931,0,0,0,0,0,0
MYOM3,9,7,7,2,0,0
MYOM3-AS1,3,4,0,0,0,0
LOC105376864,0,1,0,0,0,0
IL22RA1,0,0,0,0,0,0
IFNLR1,0,4,0,0,1,1
LINC02800,0,0,0,0,0,0
GRHL3-AS1,0,0,0,0,1,0
GRHL3,1,0,2,2,3,0
STPG1,349,429,401,509,269,335
NIPAL3,1939,2137,2399,2766,2385,2402
RCAN3AS,0,1,1,0,1,1
RCAN3,439,622,448,1508,1196,1312
NCMAP-DT,51,62,48,162,147,132
NCMAP,1,0,0,0,0,0
SRRM1,7513,7067,6738,6850,6626,6427
CLIC4,42665,40836,42583,54555,31830,25026
LOC105376876,0,3,0,1,0,0
RUNX3,0,0,0,1,0,1
MIR6731,0,0,0,0,0,0
LOC107984932,0,0,0,0,0,0
RUNX3-AS1,0,0,0,0,0,0
MIR4425,0,0,0,0,0,0
LINC02793,0,0,0,0,0,0
SYF2,1406,1471,1599,1355,1233,1173
RSRP1,766,811,800,964,1078,890
LOC105376882,0,0,1,0,2,0
RHD,14,11,23,41,57,4
TMEM50A,5665,5793,6849,9563,11832,9067
RHCE,3720,3746,4328,5938,7933,5873
MACO1,2121,2121,2315,2312,2494,2546
LDLRAP1,3520,3424,3197,2976,2588,1981
MAN1C1,1445,1370,1861,118,132,173
SELENON,39172,37621,38297,31707,40606,40404
MTFR1L,1706,2016,1755,2358,2149,2111
LOC646471,461,454,402,519,521,508
AUNIP,438,424,402,504,411,354
PAQR7,922,986,862,1328,1771,1943
STMN1,11275,13356,11786,10817,8862,9495
MIR3917,0,0,0,0,0,0
LOC105376885,0,0,0,0,0,0
PAFAH2,537,638,673,1498,1581,1322
LOC101928216,1,0,1,0,0,0
EXTL1,4,7,1,3,1,2
SLC30A2,0,4,0,0,1,0
LOC105376910,0,0,0,0,0,0
TRIM63,1,0,0,0,0,0
PDIK1L,629,697,793,591,493,590
LOC105376886,0,2,0,0,0,1
FAM110D,379,278,311,437,456,494
C1orf232,1,0,0,0,0,0
ZNF593OS,631,928,717,792,528,468
ZNF593,742,1101,862,990,645,586
CNKSR1,2,3,2,1,3,4
CATSPER4,0,0,0,0,0,0
ZPLD2P,0,1,1,5,1,3
CEP85,860,762,725,745,483,434
SH3BGRL3,19163,21188,19673,26649,15745,14128
UBXN11,240,260,206,148,146,180
CD52,0,0,0,0,0,0
CRYBG2,1,0,0,25,1,3
ZNF683,0,0,0,0,0,0
LIN28A,0,0,0,0,0,0
DHDDS,2524,2485,2511,2755,2111,1712
DHDDS-AS1,11,7,7,2,2,5
HMGN2,3597,4709,3418,3498,2489,2312
RPS6KA1,0,0,0,0,0,0
MIR1976,0,0,0,0,0,0
LOC105376888,2,0,2,0,1,0
LOC101928728,40,41,34,24,25,30
ARID1A,8076,7263,7853,6324,6732,7082
PIGV,343,399,422,463,447,422
ZDHHC18,1867,1609,1557,1519,1060,1212
SFN,2,4,2,17,6,14
GPN2,1525,1668,1485,1353,1165,1191
GPATCH3,601,701,648,504,477,518
NUDC,4285,4671,3702,4097,2393,2291
NR0B2,1,1,0,0,0,1
KDF1,1,0,0,2,0,2
TRNP1,669,597,375,2475,239,188
TENT5B,47,37,45,30,1,3
LOC101928391,11,4,6,12,2,3
SLC9A1,6697,5401,5604,6443,5030,4563
LOC102723760,0,0,0,0,0,0
WDTC1-DT,0,0,0,1,0,0
WDTC1,5152,4907,5151,4425,5575,6680
TMEM222,1773,1750,1674,1704,1573,1625
ACTG1P20,50,30,38,21,16,24
SYTL1,6,15,5,8,2,2
MAP3K6,970,819,720,645,463,427
FCN3,24,21,11,10,1,0
CD164L2,0,0,0,0,0,0
GPR3,191,240,144,136,76,72
WASF2,23299,20942,25615,28803,33438,32868
LOC105376892,0,1,0,1,0,0
AHDC1,4193,3491,4398,3544,4344,4917
FGR,18,19,3,10,5,21
LINC02574,1,1,1,0,0,0
IFI6,694,682,697,775,451,505
FAM76A,507,583,552,549,480,592
STX12,6073,5986,6469,7676,5720,5533
PPP1R8,2695,2854,2614,2418,1858,1897
SCARNA1,23,20,4,28,18,35
THEMIS2,413,444,533,1213,1982,2826
RPA2,2034,2270,2232,1902,1645,2254
SMPDL3B,74,161,90,17,26,92
XKR8,971,1210,1085,827,971,997
EYA3,3534,3521,3523,2778,2766,2540
PTAFR,13,11,17,2,3,6
DNAJC8,4022,4410,4242,4048,2807,2902
ATP5IF1,0,1,0,0,0,1
SESN2,5,0,3,2,4,0
MED18,0,1,0,0,3,0
PHACTR4,6916,6961,6224,4609,6202,6324
SNHG3,1346,1689,946,749,479,311
RCC1,3357,3880,3107,3237,2007,1768
SNORA73A,4523,4770,2366,5828,5475,7335
SNORA73B,3916,4194,2278,4868,4519,6025
TRNAU1AP,834,926,839,921,803,769
SNHG12,108,147,99,100,64,81
SNORD99,9,2,1,3,4,2
SNORA61,0,0,0,0,0,0
SNORA44,1,0,0,0,0,1
SNORA16A,23,23,12,13,12,9
RAB42,30,25,21,125,202,322
