"","x"
"TBX1",0
"CRIP2",0
"NAV2",0
"FAM107B",0
"RERE",0
"YBX3",0
"GARS1",0
"APBB2",0
"FBXL5",0
"PTPRS",0
"GPI",0
"ATL3",0
"PCBP1",0
"RANGAP1",0
"ARID5B",0
"PRRC2B",0
"ATF4",0
"LRP10",0
"PEAK1",0
"NCOA4",0
"WDR74",0
"YES1",0
"DDB1",0
"SWAP70",0
"TNFSF18",0
"IL1R1",0
"SLC7A2",0
"FMNL3",0
"HID1",0
"PREX2",0
"MATR3",0
"GLG1",0
"CAPRIN1",0
"DHRS3",0
"CAST",0
"SH3D19",0
"SEC31A",0
"QKI",0
"PIM3",0
"RND3",0
"STAT3",0
"SNHG5",0
"SULT1B1",0
"PRDX6",0
"JUN",0
"CAPZA2",0
"RAB11FIP1",0
"EIF1",0
"KRT18",0
"GUK1",0
"H2AZ1",0
"RPN1",0
"SNHG16",0
"SVIL",0
"SH3PXD2B",0
"TRIP12",0
"CLMAT3",0
"KIAA0100",0
"S1PR3",0
"AHR",0
"ISG15",0
"CTSL",0
"EML6",0
"ADGRA2",0
"SLC44A1",0
"RELL1",0
"FHL2",0
"ADAR",0
"DDX6",0
"HS3ST1",0
"GPC1",0
"LGALS9",0
"ATP1B3",0
"MFGE8",0
"ITPKB",0
"NREP",0
"BMP2K",0
"SLC39A14",0
"RPLP2",0
"OAS3",0
"COPA",0
"LRRC8A",0
"PAPSS2",0
"TFRC",0
"ELAPOR2",0
"SHE",0
"PPDPF",0
"STMN1",0
"CABLES1",0
"ACLY",0
"PSD3",0
"SLC1A5",0
"ABCA3",0
"ANO6",0
"GNB1",0
"PABPC4",0
"MEF2C",0
"MAP3K11",0
"SH3BP5.AS1",0
"UGP2",0
"COL12A1",0
"CRTAP",0
"P4HA1",0
"ADAMTS4",0
"TANC1",0
"TMED10",0
"LMBR1",0
"ATP8B1",0
"FURIN",0
"IGF1R",0
"GLIPR1",0
"GSTP1",0
"MLEC",0
"CD164",0
"APOLD1",0
"YAP1",0
"CLSTN1",0
"HMBOX1",0
"BZW1",0
"RPL23A",0
"CAPZB",0
"MPRIP",0
"CAPZA1",0
"EPHB2",0
"TRIM28",0
"CTSA",0
"KIF5B",0
"SHROOM4",0
"CCNG1",0
"PARP14",0
"PERP",0
"PLIN3",0
"MYO1D",0
"SYNGR2",0
"NFIC",0
"PLIN2",0
"DAPK1",0
"PRDX1",0
"HDGF",0
"DKK1",0
"ILF3",0
"TOR1AIP2",0
"NRCAM",0
"RAPGEF1",0
"RASSF3",0
"GGT5",0
"IRF2BP2",0
"PGM2L1",0
"GSTO1",0
"ELL2",0
"DDAH1",0
"LPP",0
"ATP2A2",0
"SERINC1",0
"KHSRP",0
"AFAP1",0
"NHSL1",0
"PLD1",0
"OGDH",0
"H3C4",0.4
"MAST4",0
"RASIP1",0
"CCT3",0
"DCAF7",0
"SPCS3",0
"GALNT18",0
"PDCD4",0
"ZNF521",0
"IGF2BP3",0
"MFNG",0
"SERBP1",0
"CAV2",0
"SNCG",0
"NOVA2",0
"ADM",0
"HERPUD1",0
"UBA52",0
"CFH",0
"AFF1",0
"SLC45A4",0
"SLC2A12",0
"YWHAB",0
"VPS13C",0
"SERF2",0
"IGFBP3",0
"TRIO",0
"CX3CL1",0
"PKN1",0
"MCL1",0
"HSPD1",0
"KIAA1671",0
"LRRC59",0
"RASGRP3",0
"ASAP1",0
"CDV3",0
"TNFSF15",0
"NCKAP1",0
"SMAD1",0
"FHL1",0
"ARHGAP21",0
"VASP",0
"RIN2",0
"TNKS1BP1",0
"TENM3",0
